EYCON_08,,01,02,03,04,05,06,07
DD/MM/YY,HH:MM:SS,"","","","","","",""
"LogTemps",,"T/C 1","T/C 2","T/C 3","T/C 4","T/C 5","T/C 6","Top_Pre2"
28/07/21,11:50:38,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:39,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:39,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:39,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:40,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:40,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:40,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:41,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:41,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:41,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:42,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:42,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:42,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:43,201,2192,2192,2192,2192,2192,62
28/07/21,11:50:43,201,2192,2192,2192,2192,2192,62
28/07/21,11:50:43,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:44,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:44,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:44,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:45,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:45,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:45,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:46,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:46,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:46,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:47,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:47,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:47,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:48,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:48,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:48,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:49,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:49,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:49,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:50,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:50,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:50,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:51,201,2192,2192,2192,2192,2192,61
28/07/21,11:50:51,201,2192,2192,2192,2192,2192,61
